SKU,Week_Start,Forecast_Units
SKU001,2026-01-12,85.27308893263817
SKU001,2026-01-19,79.53819298379914
SKU001,2026-01-26,87.9643434792115
SKU001,2026-02-02,87.37352606085497
SKU001,2026-02-09,90.63830248625925
SKU001,2026-02-16,89.6480651642358
SKU001,2026-02-23,90.22644673472041
SKU001,2026-03-02,90.330462741052
SKU001,2026-03-09,89.78313752668294
SKU001,2026-03-16,89.87377362490618
SKU001,2026-03-23,88.05136951378216
SKU001,2026-03-30,86.46381884716476
SKU002,2026-01-12,58.23146676143551
SKU002,2026-01-19,59.30619018655629
SKU002,2026-01-26,62.490708365520966
SKU002,2026-02-02,66.7706850263244
SKU002,2026-02-09,69.15167045291523
SKU002,2026-02-16,69.91672172039108
SKU002,2026-02-23,71.52566156271897
SKU002,2026-03-02,78.94947902802231
SKU002,2026-03-09,77.43928897602905
SKU002,2026-03-16,75.03453075535624
SKU002,2026-03-23,74.34661951323613
SKU002,2026-03-30,77.54118069134941
SKU003,2026-01-12,33.90863712732003
SKU003,2026-01-19,29.451802591296637
SKU003,2026-01-26,31.474462919492794
SKU003,2026-02-02,32.80502402536328
SKU003,2026-02-09,34.51754705304965
SKU003,2026-02-16,35.41930169342787
SKU003,2026-02-23,37.225914544293374
SKU003,2026-03-02,37.818463947441415
SKU003,2026-03-09,36.68415685079191
SKU003,2026-03-16,36.35802322862606
SKU003,2026-03-23,36.73029798358416
SKU003,2026-03-30,36.21869617736727
SKU004,2026-01-12,31.786559759973635
SKU004,2026-01-19,28.320480772216857
SKU004,2026-01-26,29.01832342967965
SKU004,2026-02-02,30.639401538909734
SKU004,2026-02-09,32.314293166889904
SKU004,2026-02-16,31.05365429416172
SKU004,2026-02-23,32.44303717644142
SKU004,2026-03-02,33.23519372791618
SKU004,2026-03-09,34.16661893619748
SKU004,2026-03-16,30.79964395725215
SKU004,2026-03-23,30.752428291987346
SKU004,2026-03-30,31.099493914859913
SKU005,2026-01-12,100.86209053120207
SKU005,2026-01-19,102.26362821590831
SKU005,2026-01-26,100.87318268477168
SKU005,2026-02-02,101.30598360957951
SKU005,2026-02-09,105.65692293920212
SKU005,2026-02-16,108.58692141401723
SKU005,2026-02-23,111.79502231551704
SKU005,2026-03-02,121.75756589458749
SKU005,2026-03-09,124.62178224662689
SKU005,2026-03-16,126.65155112437988
SKU005,2026-03-23,127.3951703695603
SKU005,2026-03-30,129.97398746030353
SKU006,2026-01-12,36.79474162133805
SKU006,2026-01-19,35.12691119169835
SKU006,2026-01-26,33.794006654770776
SKU006,2026-02-02,34.527516104107136
SKU006,2026-02-09,37.78377821978981
SKU006,2026-02-16,38.17539197578527
SKU006,2026-02-23,38.12859842713909
SKU006,2026-03-02,38.37173458283622
SKU006,2026-03-09,38.93153322440778
SKU006,2026-03-16,37.78719734313719
SKU006,2026-03-23,37.0662007869785
SKU006,2026-03-30,37.19256908023721
SKU007,2026-01-12,132.0323493405608
SKU007,2026-01-19,139.09598015369025
SKU007,2026-01-26,139.42018925000303
SKU007,2026-02-02,134.83928508449242
SKU007,2026-02-09,158.04327605712385
SKU007,2026-02-16,160.92109088847994
SKU007,2026-02-23,163.61098715891364
SKU007,2026-03-02,160.7052987703558
SKU007,2026-03-09,167.33949179538854
SKU007,2026-03-16,178.37716742411396
SKU007,2026-03-23,173.4019097849804
SKU007,2026-03-30,182.8700293534957
SKU008,2026-01-12,104.62477125653739
SKU008,2026-01-19,97.62751373841225
SKU008,2026-01-26,101.50229427037088
SKU008,2026-02-02,101.11959756064729
SKU008,2026-02-09,106.71338594369534
SKU008,2026-02-16,102.22810017798031
SKU008,2026-02-23,103.54590287961224
SKU008,2026-03-02,104.27434784226449
SKU008,2026-03-09,118.37206380026923
SKU008,2026-03-16,126.15476153723425
SKU008,2026-03-23,120.67935690594628
SKU008,2026-03-30,125.01417456837268
SKU009,2026-01-12,64.99240859111733
SKU009,2026-01-19,69.42074981440263
SKU009,2026-01-26,66.58010875344188
SKU009,2026-02-02,68.6641987454229
SKU009,2026-02-09,81.0324043064143
SKU009,2026-02-16,75.38088312098938
SKU009,2026-02-23,79.01091126359813
SKU009,2026-03-02,81.75858294826286
SKU009,2026-03-09,87.86865317186131
SKU009,2026-03-16,85.60489531165626
SKU009,2026-03-23,83.7808554314847
SKU009,2026-03-30,82.40395433871812
SKU010,2026-01-12,102.47873888498441
SKU010,2026-01-19,99.62257164284752
SKU010,2026-01-26,105.48200585858264
SKU010,2026-02-02,102.91123064158494
SKU010,2026-02-09,106.6576055991393
SKU010,2026-02-16,111.63194196877372
SKU010,2026-02-23,120.05209533979347
SKU010,2026-03-02,125.11935541423199
SKU010,2026-03-09,128.47263738421253
SKU010,2026-03-16,125.4197799583587
SKU010,2026-03-23,132.04121070517496
SKU010,2026-03-30,133.13715535659605
SKU011,2026-01-12,21.311463645077747
SKU011,2026-01-19,20.01891331418941
SKU011,2026-01-26,21.505738655690603
SKU011,2026-02-02,19.799507604496004
SKU011,2026-02-09,20.87370095807681
SKU011,2026-02-16,20.63920418914826
SKU011,2026-02-23,21.870025908676578
SKU011,2026-03-02,21.110886231513366
SKU011,2026-03-09,21.31285212926099
SKU011,2026-03-16,20.952942599035943
SKU011,2026-03-23,21.037347207968583
SKU011,2026-03-30,20.80274239165825
SKU012,2026-01-12,133.03543595167937
SKU012,2026-01-19,146.14645671673162
SKU012,2026-01-26,139.74422828054966
SKU012,2026-02-02,137.65337857412882
SKU012,2026-02-09,153.31133340577153
SKU012,2026-02-16,156.76487024637836
SKU012,2026-02-23,157.91134057257122
SKU012,2026-03-02,160.63596985593446
SKU012,2026-03-09,167.15237830737092
SKU012,2026-03-16,162.8345635626849
SKU012,2026-03-23,179.14498693806837
SKU012,2026-03-30,185.7298899489144
SKU013,2026-01-12,84.24970508848028
SKU013,2026-01-19,83.40005237935624
SKU013,2026-01-26,82.55604904976025
SKU013,2026-02-02,85.33519363882256
SKU013,2026-02-09,88.26365118620343
SKU013,2026-02-16,88.73134691606663
SKU013,2026-02-23,89.88220288487018
SKU013,2026-03-02,91.1688363822009
SKU013,2026-03-09,90.33791618307373
SKU013,2026-03-16,91.63456380380559
SKU013,2026-03-23,86.60843339270652
SKU013,2026-03-30,88.03624727476769
SKU014,2026-01-12,104.5484702753334
SKU014,2026-01-19,109.36951494824861
